[2026-02-24 18:18:09] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:12] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:15] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:18] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:21] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:24] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:27] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:30] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:33] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:36] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:39] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:43] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:46] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:49] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:52] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:55] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:18:57] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:01] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:04] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:07] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:10] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:13] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:16] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:19] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:22] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:25] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:28] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:31] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:34] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:37] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:40] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:50] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:56] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:19:59] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:20:02] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:20:05] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:20:20] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:20:36] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:20:39] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:20:42] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:20:45] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:20:51] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:21:12] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:21:16] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:21:19] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:21:22] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:21:25] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:21:28] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:21:31] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:21:34] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:21:37] IoT Trigger: ID=1, Status=SAFE, Level=0
